13,1,uniform-20
12,4,uniform-20
10,156,uniform-20
9,896,uniform-20
8,4287,uniform-20
11,29,uniform-20
7,20675,uniform-20
3,22707,uniform-20
14,97331,uniform-20
5,344141,uniform-20
4,413365,uniform-20
6,96408,uniform-20
